Entity,Code,Year,Overweight or Obese (NCDRisC (2017)),Daily calorie supply per person,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2019,13.2,2270.4536,37856125,Asia,2019,2023,2014,2014
Albania,ALB,2019,58.4,3295.1814,2885011,Europe,2019,2023,2014,2014
Algeria,DZA,2019,51.5,3398.1978,43294551,Africa,2019,2023,2014,2014
Angola,AGO,2019,18.6,2549.5027,32375633,Africa,2019,2023,2014,2014
Antigua and Barbuda,ATG,2019,53.2,2415.4526,91377,North America,2019,2023,2014,2014
Argentina,ARG,2019,66.6,3156.417,44973469,South America,2019,2023,2014,2014
Armenia,ARM,2019,54.9,3182.4075,2903975,Asia,2019,2023,2014,2014
Australia,AUS,2019,69.6,3514.5686,25482714,Oceania,2019,2023,2014,2014
Austria,AUT,2019,62.5,3754.4148,8880876,Europe,2019,2023,2014,2014
Azerbaijan,AZE,2019,55.1,3020.2031,10110483,Asia,2019,2023,2014,2014
Bahamas,BHS,2019,60.9,2604.626,394684,North America,2019,2023,2014,2014
Bahrain,BHR,2019,64.6,3502.3188,1485675,Asia,2019,2023,2019,2014
Bangladesh,BGD,2019,14.1,2410.2356,164913060,Asia,2019,2023,2014,2014
Barbados,BRB,2019,51.3,3041.459,281216,North America,2019,2023,2014,2014
Belarus,BLR,2019,60.9,3338.3406,9435415,Europe,2019,2023,2014,2014
Belgium,BEL,2019,66.9,3795.3303,11490623,Europe,2019,2023,2014,2014
Belize,BLZ,2019,46.3,2701.2869,385833,North America,2019,2023,2014,2014
Benin,BEN,2019,16.8,2556.327,12726760,Africa,2019,2023,2014,2014
Bhutan,BTN,2019,21.9,3234.7551,764830,Asia,2019,2023,2019,2014
Bolivia,BOL,2019,49,2277.8997,11671386,South America,2019,2023,2014,2014
Bosnia and Herzegovina,BIH,2019,54.9,3222.2695,3345532,Europe,2019,2023,2014,2014
Botswana,BWA,2019,30.8,2655.3196,2332082,Africa,2019,2023,2014,2014
