name,state,lat,lng,elevation_ft,temperature_F,access_type,hike_distance_miles,difficulty,notes
Goldbug Hot Springs,ID,44.8982,-113.9570,6200,113,"Hike-in",2.0,"Moderate","Popular terraced pools with big views; very busy on weekends."
Weir Creek Hot Springs,ID,46.4635,-115.0359,3600,104,"Hike-in",0.7,"Easy","Short forest hike; riverside pools; can flood at high water."
Jerry Johnson Hot Springs,ID,46.4629,-114.8730,3700,102,"Hike-in",1.2,"Easy-Moderate","Multiple pools along a creek; seasonal closures sometimes in winter."
Kirkham Hot Springs,ID,44.0724,-115.5416,4100,102,"Roadside river",0.1,"Easy","Very popular roadside hot spring on the Payette River."
Bonneville Hot Springs,ID,44.1569,-115.3140,4200,101,"Hike-in",0.5,"Easy","Forest pools near a campground; nice mix of hot and warm pools."
Pine Flat Hot Springs,ID,44.0623,-115.6857,3900,100,"Hike-in",0.4,"Easy","Cliffside pools above the river; best at moderate flows."
Sunbeam Hot Springs,ID,44.2680,-114.7482,4900,104,"Roadside river",0.1,"Easy","Stone soaking pools built into the Salmon River."
Boat Box Hot Spring,ID,44.2449,-114.8861,4900,110,"Roadside tub",0.0,"Easy","Single metal tub; one car can soak at a time; very popular photo spot."
Trail Creek Hot Springs,ID,44.4200,-115.5640,4200,108,"Hike-in",0.1,"Easy","Rock pools with piped hot water; temperatures can be adjusted by moving pipes."
Rocky Canyon Hot Springs,ID,44.1470,-115.7890,4000,106,"Hike-in river",0.5,"Moderate","Multiple tiered pools across a river crossing; best at low water."
Mile-16 (Sugah) Hot Springs,ID,44.9400,-113.9800,4200,103,"Roadside river",0.1,"Easy","Riverside pools on the Salmon River; can be shallow or washed out in spring."
Panther Creek Hot Springs,ID,45.0840,-114.3440,3800,100,"Hike-in",0.3,"Easy","Small pools above Panther Creek; more quiet than highway springs."
Sunflower Hot Springs,ID,45.1030,-114.7250,5200,102,"Boat/Hike-in",0.0,"Moderate","Remote riverside pools often accessed via raft trips on the Middle Fork Salmon."
Stanley Hot Springs,ID,46.4120,-115.0610,4200,104,"Hike-in",4.5,"Moderate-Strenuous","Longer forest hike; classic backcountry soak; check trail and fire closures."
Granite Creek Hot Springs,WY,43.3683,-110.4463,6800,104,"Developed natural",0.1,"Easy","Pool built at natural spring; rough road in winter; fee charged in season."
Kelly Warm Spring,WY,43.5630,-110.6660,6400,82,"Roadside warm spring",0.1,"Easy","Shallow warm water near Jackson; not as hot as other springs."
Astoria Hot Springs (natural area),WY,43.3730,-110.7760,6100,102,"Developed natural",0.1,"Easy","Pools along the Snake River; restored facility using natural hot water."
Lolo Hot Springs (creek pools),MT,46.7300,-114.5300,4200,100,"Hike-in",0.3,"Easy","Small undeveloped pools near Lolo; not the commercial pool."
Nimrod Hot Springs,MT,46.8730,-113.4120,3400,70,"Roadside warm spring",0.1,"Easy","Clear blue warm spring in a cliffside cave; more of a swim than a hot soak."
Symes-area creek pools (undeveloped),MT,47.6690,-114.6740,3100,95,"Hike-in",0.5,"Easy-Moderate","Small undeveloped pools near the better-known commercial hot springs."
